position_id,delivery_time,direction,volume_mwh,trade_price_eur_mwh
POS-00247,2025-11-20 16:30:00+00:00,BUY,75.41,89.45
POS-00248,2025-11-20 21:30:00+00:00,SELL,52.85,54.38
POS-00249,2025-11-21 07:45:00+00:00,SELL,9.26,69.78
POS-00250,2025-11-21 10:45:00+00:00,BUY,40.21,54.7
POS-00251,2025-11-21 20:30:00+00:00,BUY,35.77,94.46
POS-00252,2025-11-22 01:00:00+00:00,BUY,51.59,38.92
POS-00253,2025-11-22 15:30:00+00:00,BUY,51.97,76.33
POS-00254,2025-11-22 17:30:00+00:00,BUY,81.11,50.2
POS-00255,2025-11-22 21:00:00+00:00,BUY,32.05,42.07
POS-00256,2025-11-23 00:00:00+00:00,BUY,37.65,27.95
POS-00257,2025-11-23 01:30:00+00:00,BUY,54.08,53.78
POS-00258,2025-11-23 05:15:00+00:00,SELL,75.91,48.61
POS-00259,2025-11-23 12:00:00+00:00,SELL,61.49,86.49
POS-00260,2025-11-23 22:30:00+00:00,BUY,42.67,13.07
POS-00261,2025-11-23 23:30:00+00:00,BUY,70.17,28.13
POS-00262,2025-11-24 03:15:00+00:00,SELL,43.82,32.04
POS-00263,2025-11-24 06:30:00+00:00,BUY,82.08,65.07
POS-00264,2025-11-24 09:00:00+00:00,BUY,27.6,59.14
POS-00265,2025-11-24 16:45:00+00:00,BUY,15.19,112.76
POS-00266,2025-11-24 17:45:00+00:00,BUY,71.43,95.27
POS-00267,2025-11-24 19:15:00+00:00,SELL,28.78,77.3
POS-00268,2025-11-24 21:45:00+00:00,BUY,72.79,46.82
POS-00269,2025-11-24 22:45:00+00:00,BUY,53.75,32.87
POS-00270,2025-11-24 23:00:00+00:00,SELL,45.72,37.16
POS-00271,2025-11-25 01:00:00+00:00,SELL,11.96,13.3
POS-00272,2025-11-25 03:00:00+00:00,BUY,67.91,54.49
POS-00273,2025-11-25 04:15:00+00:00,BUY,10.27,47.36
POS-00274,2025-11-25 07:00:00+00:00,SELL,82.21,65.48
POS-00275,2025-11-25 07:45:00+00:00,BUY,75.16,79.0
POS-00276,2025-11-25 12:30:00+00:00,SELL,29.24,84.31
POS-00277,2025-11-25 18:45:00+00:00,BUY,15.23,85.88
POS-00278,2025-11-26 00:00:00+00:00,SELL,75.85,40.78
POS-00279,2025-11-26 08:30:00+00:00,SELL,43.39,61.17
POS-00280,2025-11-26 10:45:00+00:00,SELL,14.99,55.61
POS-00281,2025-11-26 23:45:00+00:00,SELL,44.88,41.28
POS-00282,2025-11-27 19:00:00+00:00,BUY,24.75,81.67
POS-00283,2025-11-27 19:30:00+00:00,BUY,37.63,81.39
POS-00284,2025-11-28 04:30:00+00:00,BUY,56.22,61.95
POS-00285,2025-11-28 13:00:00+00:00,SELL,78.23,112.99
POS-00286,2025-11-28 17:30:00+00:00,BUY,69.07,103.67
POS-00287,2025-11-29 19:30:00+00:00,BUY,17.88,81.39
POS-00288,2025-11-29 20:45:00+00:00,BUY,43.19,46.39
POS-00289,2025-11-29 21:15:00+00:00,SELL,44.35,64.29
POS-00290,2025-11-30 00:00:00+00:00,SELL,84.16,50.79
POS-00291,2025-11-30 03:45:00+00:00,BUY,11.95,58.78
POS-00292,2025-11-30 07:00:00+00:00,BUY,45.86,30.77
POS-00293,2025-11-30 09:00:00+00:00,SELL,78.15,76.16
POS-00294,2025-11-30 20:15:00+00:00,SELL,36.91,41.88
POS-00295,2025-12-01 08:30:00+00:00,SELL,25.94,71.15
POS-00296,2025-12-01 09:30:00+00:00,SELL,49.47,78.82
POS-00297,2025-12-01 12:00:00+00:00,SELL,30.61,112.57
POS-00298,2025-12-01 12:15:00+00:00,SELL,79.17,69.94
POS-00299,2025-12-01 17:45:00+00:00,SELL,11.78,100.07
POS-00300,2025-12-01 18:30:00+00:00,BUY,21.54,90.43
POS-00301,2025-12-02 11:15:00+00:00,SELL,11.71,84.36
POS-00302,2025-12-02 11:30:00+00:00,BUY,61.95,66.83
POS-00303,2025-12-02 16:45:00+00:00,SELL,28.45,89.62
POS-00304,2025-12-02 17:00:00+00:00,SELL,77.01,69.59
POS-00305,2025-12-02 19:30:00+00:00,SELL,76.49,86.58
POS-00306,2025-12-02 21:00:00+00:00,BUY,79.91,60.84
POS-00307,2025-12-02 23:30:00+00:00,BUY,25.49,43.72
POS-00308,2025-12-03 08:15:00+00:00,BUY,5.05,35.7
POS-00309,2025-12-03 09:30:00+00:00,BUY,36.01,63.82
POS-00310,2025-12-03 10:00:00+00:00,SELL,82.01,114.19
POS-00311,2025-12-03 10:15:00+00:00,SELL,66.1,54.05
POS-00312,2025-12-04 02:00:00+00:00,BUY,9.77,50.45
POS-00313,2025-12-04 04:15:00+00:00,SELL,61.21,50.05
POS-00314,2025-12-04 07:30:00+00:00,SELL,78.37,75.49
POS-00315,2025-12-04 08:15:00+00:00,BUY,82.42,54.73
POS-00316,2025-12-04 08:45:00+00:00,SELL,62.28,73.48
POS-00317,2025-12-04 19:45:00+00:00,SELL,74.04,108.11
POS-00318,2025-12-05 20:00:00+00:00,BUY,72.34,54.62
POS-00319,2025-12-05 20:15:00+00:00,BUY,33.67,69.11
POS-00320,2025-12-05 21:00:00+00:00,SELL,12.92,80.5
POS-00321,2025-12-06 01:00:00+00:00,SELL,63.2,33.97
POS-00322,2025-12-06 01:30:00+00:00,BUY,15.95,61.92
POS-00323,2025-12-06 03:15:00+00:00,SELL,35.74,28.82
POS-00324,2025-12-06 06:15:00+00:00,SELL,84.66,71.54
POS-00325,2025-12-06 08:45:00+00:00,SELL,49.78,65.31
POS-00326,2025-12-06 10:30:00+00:00,BUY,46.74,96.39
POS-00327,2025-12-06 14:45:00+00:00,BUY,80.83,64.15
POS-00328,2025-12-07 02:30:00+00:00,SELL,27.72,19.19
POS-00329,2025-12-07 07:00:00+00:00,BUY,84.95,63.27
POS-00330,2025-12-07 08:30:00+00:00,BUY,77.96,65.27
POS-00331,2025-12-07 20:00:00+00:00,SELL,34.11,95.57
POS-00332,2025-12-07 23:45:00+00:00,BUY,31.18,35.03
POS-00333,2025-12-08 01:00:00+00:00,SELL,15.13,55.07
POS-00334,2025-12-08 08:45:00+00:00,BUY,78.25,77.05
POS-00335,2025-12-08 13:30:00+00:00,SELL,19.86,106.84
POS-00336,2025-12-09 08:45:00+00:00,BUY,5.72,57.88
POS-00337,2025-12-09 09:15:00+00:00,SELL,76.21,111.69
POS-00338,2025-12-09 09:45:00+00:00,BUY,52.85,84.66
POS-00339,2025-12-09 10:00:00+00:00,BUY,58.75,70.26
POS-00340,2025-12-09 13:30:00+00:00,BUY,63.65,93.16
POS-00341,2025-12-09 17:30:00+00:00,BUY,8.41,93.78
POS-00342,2025-12-10 00:00:00+00:00,BUY,12.35,50.05
POS-00343,2025-12-10 03:30:00+00:00,SELL,44.99,70.91
POS-00344,2025-12-10 07:15:00+00:00,BUY,9.02,48.37
POS-00345,2025-12-10 08:00:00+00:00,BUY,45.35,79.09
POS-00346,2025-12-10 08:30:00+00:00,SELL,63.91,85.59
POS-00347,2025-12-11 04:15:00+00:00,SELL,57.59,43.36
POS-00348,2025-12-11 04:30:00+00:00,SELL,54.33,50.15
POS-00349,2025-12-11 18:30:00+00:00,BUY,8.71,85.96
POS-00350,2025-12-11 20:15:00+00:00,BUY,23.93,75.42
POS-00351,2025-12-11 21:00:00+00:00,BUY,76.8,70.32
POS-00352,2025-12-11 22:30:00+00:00,BUY,14.86,50.69
POS-00353,2025-12-12 06:45:00+00:00,BUY,47.66,78.85
POS-00354,2025-12-12 18:45:00+00:00,BUY,9.0,97.67
POS-00355,2025-12-13 05:15:00+00:00,BUY,80.14,57.59
POS-00356,2025-12-13 09:30:00+00:00,BUY,18.73,57.76
POS-00357,2025-12-14 06:45:00+00:00,SELL,37.8,69.4
POS-00358,2025-12-14 08:30:00+00:00,BUY,48.74,99.44
POS-00359,2025-12-14 10:30:00+00:00,BUY,62.49,85.76
POS-00360,2025-12-14 11:15:00+00:00,SELL,80.0,96.25
POS-00361,2025-12-14 19:45:00+00:00,BUY,63.91,89.69
POS-00362,2025-12-14 21:30:00+00:00,BUY,32.79,18.92
POS-00363,2025-12-15 00:15:00+00:00,BUY,11.03,59.53
POS-00364,2025-12-15 01:30:00+00:00,BUY,61.59,46.39
POS-00365,2025-12-15 04:45:00+00:00,SELL,82.8,66.03
POS-00366,2025-12-15 11:15:00+00:00,BUY,6.36,124.56
POS-00367,2025-12-15 13:00:00+00:00,BUY,66.97,78.29
POS-00368,2025-12-15 16:45:00+00:00,SELL,19.09,108.72
POS-00369,2025-12-16 08:45:00+00:00,SELL,41.8,101.77
POS-00370,2025-12-16 16:45:00+00:00,BUY,46.81,118.7
POS-00371,2025-12-16 21:30:00+00:00,BUY,54.15,79.09
POS-00372,2025-12-17 05:00:00+00:00,BUY,84.16,75.6
POS-00373,2025-12-17 08:45:00+00:00,SELL,59.99,68.58
POS-00374,2025-12-17 12:30:00+00:00,SELL,36.39,118.44
POS-00375,2025-12-17 17:30:00+00:00,BUY,62.2,104.69
POS-00376,2025-12-17 23:30:00+00:00,SELL,42.34,65.44
POS-00377,2025-12-18 07:00:00+00:00,BUY,38.05,96.56
POS-00378,2025-12-18 09:45:00+00:00,BUY,34.25,101.2
POS-00379,2025-12-18 15:15:00+00:00,BUY,44.47,92.72
POS-00380,2025-12-19 01:15:00+00:00,SELL,27.49,65.74
POS-00381,2025-12-19 05:30:00+00:00,BUY,24.37,61.8
POS-00382,2025-12-19 06:00:00+00:00,BUY,16.88,87.38
POS-00383,2025-12-19 07:30:00+00:00,SELL,40.22,79.06
POS-00384,2025-12-19 08:45:00+00:00,BUY,28.46,82.35
POS-00385,2025-12-19 09:00:00+00:00,BUY,71.96,98.99
POS-00386,2025-12-19 09:45:00+00:00,BUY,72.83,100.16
POS-00387,2025-12-19 13:00:00+00:00,SELL,32.51,120.31
POS-00388,2025-12-19 18:45:00+00:00,SELL,54.53,112.84
POS-00389,2025-12-19 20:30:00+00:00,SELL,77.18,102.89
POS-00390,2025-12-20 03:15:00+00:00,SELL,33.73,62.32
POS-00391,2025-12-20 06:00:00+00:00,SELL,49.38,72.46
POS-00392,2025-12-20 07:30:00+00:00,SELL,40.48,70.89
POS-00393,2025-12-20 10:00:00+00:00,SELL,57.02,90.6
POS-00394,2025-12-20 12:00:00+00:00,SELL,81.78,69.28
POS-00395,2025-12-21 05:30:00+00:00,BUY,16.09,88.2
POS-00396,2025-12-21 07:00:00+00:00,BUY,82.23,52.13
POS-00397,2025-12-21 20:00:00+00:00,SELL,58.26,81.43
POS-00398,2025-12-21 20:45:00+00:00,BUY,68.67,71.18
